company_size,company_industry,employee_country,employee_title,company_revenue,employee_count,years_experience,email_domain_score,email_opened
11-50,Other,United Kingdom,Manager,,139.05222064069622,24.0,0.6857996256539676,1
1-10,Other,Canada,Developer,20183.551131189717,22.765698807990137,,0.1419990968922539,0
51-200,Healthcare,Australia,Engineer,336665.96192710707,107.68750622533766,20.0,0.3169229194234105,0
1-10,Healthcare,United States,Director Marketing,17321681.87496006,187.2355910567516,22.0,0.1281819632100027,0
1001-5000,Education,United States,Sales Rep,3396482.86303145,3348.217013233697,,0.4210779940242304,0
201-500,Technology,Australia,Marketing Manager,,165.99127018124722,,0.7941433120173511,0
501-1000,Retail,United States,Sales Rep,329618.1241678545,2986.1926777986496,1.0,0.4446341872784108,0
1-10,Healthcare,United States,Developer,31948.30197633893,156.1769939657455,4.0,0.9168098265334838,1
1-10,Technology,United States,Senior Manager,1029872.5097122506,39.39706965102782,12.0,0.2679130529974323,1
501-1000,Healthcare,United States,Engineer,537423.9648097662,597.066284440075,9.0,0.5363469742230849,0
